Function,Generated,Ground Truth
"	public Annotation[] getAnnotations() {
		if (this.field != null) {
			Annotation[] fieldAnnotations = this.fieldAnnotations;
			if (fieldAnnotations == null) {
				fieldAnnotations = this.field.getAnnotations();
				this.fieldAnnotations = fieldAnnotations;
			}
			return fieldAnnotations;
		}
		else {
			return obtainMethodParameter().getParameterAnnotations();
		}
	}","	return this.field != null ? this.field.getAnnotations() : obtainMethodParameter().getParameterAnnotations();
    ### Completion:
    	return the annotations for the field or method parameter
    	the field is not null and the method parameter is null
    	the method parameter is not null and the field is null
    	the method parameter is not null and the field is null
    	the field is not null and the method parameter is null
    	the method parameter is not null and the field is null
    	the field is not null and the method parameter is null
    	the method parameter is not null and the field is null
    	the field is not null and the method parameter is null
    	the method parameter is not null and the field is null
    	the field is not null and the method parameter is null
    	the method parameter is not null and the field is null
    	the field is not null and the method parameter is null
    	the method parameter is not null and the field is null
    	the field is not null and the method parameter is null
    	the method parameter is not null and the field is null",obtain the annotations associated with the wrapped field or method constructor parameter
"	public final NamespaceHandlerResolver getNamespaceHandlerResolver() {
		return this.namespaceHandlerResolver;
	}",	return the namespace handler resolver used to resolve namespace handlers for this factory,return the namespace resolver
"final void put(
    final ByteVector code, final int sourceInsnBytecodeOffset, final boolean wideReference) {
  if ((flags & FLAG_RESOLVED) == 0) {
    if (wideReference) {
      addForwardReference(sourceInsnBytecodeOffset, FORWARD_REFERENCE_TYPE_WIDE, code.length);
      code.putInt(-1);
    } else {
      addForwardReference(sourceInsnBytecodeOffset, FORWARD_REFERENCE_TYPE_SHORT, code.length);
      code.putShort(-1);
    }
  } else {
    if (wideReference) {
      code.putInt(bytecodeOffset - sourceInsnBytecodeOffset);
    } else {
      code.putShort(bytecodeOffset - sourceInsnBytecodeOffset);
    }
  }
}",0 this method is called when the instruction is visited by an abstract visitor,puts a reference to this label in the bytecode of a method
"public void visitProvide(final String service, final String... providers) {
  if (mv != null) {
    mv.visitProvide(service, providers);
  }
}","
  visit the provide directive of a module descriptor
### Arguments:
service the fully qualified name of the service being provided
providers the fully qualified names of the providers of the service
### Implementation:
this method must be called before visiting any of the classes that implement the service
this method must be called before visiting any of the packages that contain the classes that implement the service
this method must be called before visiting any of the modules that export the service
this method must be called before visiting any of the modules that require the service
this method must be called before visiting any of the modules that use the service
this method must be called before visiting any of the modules that are used by the service
this method must be called before visiting any of the modules that are exported by the service
this method must be called before visiting any of the modules that are required by the service
this method must be called before visiting any of the modules that are used by the service
this method must be called before visiting any of the modules that are exported by the service
this method must be called before visiting any of the modules that are required by the service
this method",visit an implementation of a service
"	public void setViewResolvers(List<ViewResolver> viewResolvers) {
		this.viewResolvers.clear();
		if (!CollectionUtils.isEmpty(viewResolvers)) {
			this.viewResolvers.addAll(viewResolvers);
		}
	}","	set the view resolvers to use
    	@param viewResolvers the view resolvers to use
    	@throws IllegalArgumentException if the given list is null or contains null elements
    	@see #getViewResolvers()
    	@see #addViewResolver(ViewResolver)
    	@see #setViewResolver(ViewResolver)
    	@see #setOrder(int)
    	@see #setViewClass(Class)
    	@see #setPrefix(String)
    	@see #setSuffix(String)
    	@see #setRequestContextAttribute(String)
    	@see #setExposePathVariables(boolean)
    	@see #setExposeContextBeansAsAttributes(boolean)
    	@see #setExposedContextBeanNames(String[])
    	@see #setContentType(String)
    	@see #setFlashMapOutputAsMap(boolean)
    	@see #setRedirectContextRelative(boolean)
    	@see #setRedirectHttp10Compatible(boolean)
    	@see #setBufferSize(int)
",set the list of view view resolvers to delegate to
"	protected Connection getConnection() throws JMSException {
		synchronized (this.connectionMonitor) {
			if (this.connection == null) {
				initConnection();
			}
			return this.connection;
		}
	}","	return this.connection;
    ### Completion:
    return the connection associated with this connection factory",obtain an initialized shared connection
"	public Object beginTransaction(EntityManager entityManager, TransactionDefinition definition)
			throws PersistenceException, SQLException, TransactionException {

		if (definition.getIsolationLevel() != TransactionDefinition.ISOLATION_DEFAULT) {
			throw new InvalidIsolationLevelException(getClass().getSimpleName() +
					"" does not support custom isolation levels due to limitations in standard JPA. "" +
					""Specific arrangements may be implemented in custom JpaDialect variants."");
		}
		entityManager.getTransaction().begin();
		return null;
	}","	begin a jpa transaction
    	this implementation always returns null
    	if a custom isolation level is specified it will throw an invalid isolation level exception
    	as this jpa dialect does not support custom isolation levels due to limitations in standard jpa",this implementation invokes the standard jpa transaction
"	public void setExposedHeaders(@Nullable List<String> exposedHeaders) {
		this.exposedHeaders = (exposedHeaders != null ? new ArrayList<>(exposedHeaders) : null);
	}","	set the list of headers to expose
    	
    	<p>By default this is not set
    	
    	<p>This list is used to populate the value of the {@code Access-Control-Expose-Headers} header
    	
    	<p>For more details see the
    	<a href=""https://www.w3.org/TR/cors/#access-control-expose-headers-response-header"">
    		Access-Control-Expose-Headers response header
    	</a>
    	section of the CORS spec
    	
    	<p>Note that the CORS spec
    	<a href=""https://www.w3.org/TR/cors/#access-control-expose-headers-response-header"">
    		disallows
    	</a>
    	the use of the {@code Access-Control-Expose-Headers} header
    	in response to a simple cross-origin request
    	
    	<p>Therefore the presence of this header in the response
    	<a href=""https://tools.ietf",set the list of response headers other than simple headers i
"	protected T extendMapping(T mapping, HandlerMethod handlerMethod) {
		return mapping;
	}",	extend the mapping with additional attributes or elements as necessary,this method is invoked just before mappings are added
"	public static Class<?> getUserClass(Class<?> clazz) {
		if (clazz.getName().contains(CGLIB_CLASS_SEPARATOR)) {
			Class<?> superclass = clazz.getSuperclass();
			if (superclass != null && superclass != Object.class) {
				return superclass;
			}
		}
		return clazz;
	}","	return the user class if the supplied class is a cglib proxy class or the supplied class itself otherwise
### Function:
	public static boolean isCglibProxy(Object object) {
		return (object != null && object.getClass().getName().contains(CGLIB_CLASS_SEPARATOR));
	}
### Response:
    	return true if the supplied object is a cglib proxy class or false otherwise
### Function:
	public static boolean isCglibProxyClass(Class<?> clazz) {
		return (clazz != null && clazz.getName().contains(CGLIB_CLASS_SEPARATOR));
	}
### Response:
    	return true if the supplied class is a cglib proxy class or false otherwise
### Function:
	public static boolean isCglibProxyClass(String className) {
		return (className != null && className.contains(CGLIB_CLASS_SEPARATOR));
	}
### Response:
    	return true if the supplied class name is a cglib proxy class or false otherwise
###",return the user defined class for the given class usually simply the given class but the original class in case of a cglib generated subclass
"	static Builder create(HttpMethod method, URI url) {
		return new DefaultClientRequestBuilder(method, url);
	}","	creates a builder for a request to the given uri using the given http method
    	the uri is assumed to be absolute
    	the http method is assumed to be non null
    	@return a builder to create the request
    	@throws IllegalArgumentException if the uri is null or if the http method is null
    	@see DefaultClientRequestBuilder
    	@see HttpMethod
    	@see URI
    	@see #build
    	@see #buildBodyless()
    	@see #buildEntity()
    	@see #buildEntity(Object)
    	@see #buildEntity(Object, Type)
    	@see #buildEntity(Object, Type, Annotation[])
    	@see #buildEntity(Object, Type, Annotation[], MediaType)
    	@see #buildEntity(Object, Type, Annotation[], MediaType, Charset)
    	@see #buildEntity(Object, Type, Annotation[], MediaType, Charset)
    	@see #buildEntity(Object, Type, Annotation[], MediaType, Charset)
    	@see #build",create a request builder with the given http method and url
"	public void setSupportedProtocols(String... protocols) {
		this.supportedProtocols.clear();
		for (String protocol : protocols) {
			this.supportedProtocols.add(protocol.toLowerCase());
		}
	}",	set the supported protocols for this factory,use this property to configure the list of supported sub protocols
"	public int compareTo(ConsumesRequestCondition other, ServerWebExchange exchange) {
		if (this.expressions.isEmpty() && other.expressions.isEmpty()) {
			return 0;
		}
		else if (this.expressions.isEmpty()) {
			return 1;
		}
		else if (other.expressions.isEmpty()) {
			return -1;
		}
		else {
			return this.expressions.get(0).compareTo(other.expressions.get(0));
		}
	}",	compare the consumer expressions of the current instance and the given other instance based on their highest precedence expressions first,returns ul li 0 if the two conditions have the same number of expressions li less than 0 if this has more or more specific media type expressions li greater than 0 if other has more or more specific media type expressions ul p it is assumed that both instances have been obtained via get matching condition server web exchange and each instance contains the matching consumable media type expression only or is otherwise empty
"	public void setSessionManager(WebSessionManager sessionManager) {
		Assert.notNull(sessionManager, ""WebSessionManager must not be null"");
		this.sessionManager = sessionManager;
	}",	set the session manager to use for session management,configure a custom web session manager to use for managing web sessions
"	protected void addReturnValueHandlers(List<HandlerMethodReturnValueHandler> returnValueHandlers) {
	}","	add handlers for custom return value types
    	subclasses can override this method to add their own custom return value handlers
    	the default implementation is empty
    	@param returnValueHandlers the list of return value handlers to register
    	@since 3.1

This code was generated by [code.org](https://code.org).
### Code

```java
package org.springframework.web.method;

import java.lang.reflect.Method;
import java.util.List;
import java.util.Map;

import org.springframework.core.MethodParameter;
import org.springframework.lang.Nullable;
import org.springframework.util.Assert;
import org.springframework.util.CollectionUtils;
import org.springframework.util.LinkedMultiValueMap;
import org.springframework.util.MultiValueMap;
import org.springframework.util.StringUtils;
import org.springframework.web.bind.annotation.RequestBody;
import org.springframework.web.bind.annotation.RequestParam;
import org.springframework.web.bind.annotation.ResponseBody;
import org.springframework.web.",add custom handler method return value handler handler method return value handlers in addition to the ones registered by default
"	public String getSameSite() {
		return this.sameSite;
	}","	return the same site value

## this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
## this method is deprecated
this method is deprecated
",get the same site attribute for this cookie
"	protected Pointcut buildPointcut(Set<Class<? extends Annotation>> asyncAnnotationTypes) {
		ComposablePointcut result = null;
		for (Class<? extends Annotation> asyncAnnotationType : asyncAnnotationTypes) {
			Pointcut cpc = new AnnotationMatchingPointcut(asyncAnnotationType, true);
			Pointcut mpc = new AnnotationMatchingPointcut(null, asyncAnnotationType, true);
			if (result == null) {
				result = new ComposablePointcut(cpc);
			}
			else {
				result.union(cpc);
			}
			result = result.union(mpc);
		}
		return (result != null ? result : Pointcut.TRUE);
	}","	build a pointcut that matches any method or class annotated with the specified async annotation types
### Details:
build a pointcut that matches any method or class annotated with the specified async annotation types
### Comment:
method must be annotated with one of the specified async annotation types
### Code:
this method must be annotated with one of the specified async annotation types
### Comment:
class must be annotated with one of the specified async annotation types
### Code:
this class must be annotated with one of the specified async annotation types
### Comment:
class or method must be annotated with one of the specified async annotation types
### Code:
this class or method must be annotated with one of the specified async annotation types
### Comment:
class or method must be annotated with one of the specified async annotation types
### Code:
this class or method must be annotated with one of the specified async annotation types
### Comment:
class or method must be annotated with one of the specified async annotation types
### Code:
this class or method must be annotated with one of the specified async annotation types
### Comment:
",calculate a pointcut for the given async annotation types if any
"	public boolean isHandlerSessionAttribute(String attributeName, Class<?> attributeType) {
		Assert.notNull(attributeName, ""Attribute name must not be null"");
		if (this.attributeNames.contains(attributeName) || this.attributeTypes.contains(attributeType)) {
			this.knownAttributeNames.add(attributeName);
			return true;
		}
		else {
			return false;
		}
	}","	check whether the given attribute name and type match a handler session attribute
    	this method is used for logging purposes
    	if the attribute name is not a known handler session attribute name and type then this method will return false
    	this method will also return false if the attribute name is a known handler session attribute name but the type does not match the attribute type
    	if the attribute name is a known handler session attribute name and the type matches the attribute type then this method will return true
    	@param attributeName the name of the session attribute
    	@param attributeType the type of the session attribute
    	@return true if the given attribute name and type match a handler session attribute
    	@since 4.3.1
    	@see #setHandlerSessionAttributeNames
    	@see #setHandlerSessionAttributeTypes
    	@see #addHandlerSessionAttributeName
    	@see #addHandlerSessionAttributeType
    	@see #removeHandlerSessionAttributeName
    	@see #removeHandlerSessionAttributeType
    	@see org.springframework.web.context.request.SessionAttributesHandler#setSessionAttributes
    	@see org.springframework.web",whether the attribute name or type match the names and types specified via on the underlying controller
"	public void setExplicitQosEnabled(boolean explicitQosEnabled) {
		this.explicitQosEnabled = explicitQosEnabled;
	}","	set whether to enable explicit qos on the queue
    	if enabled then the queue will be configured with a qos that matches the qos specified in the message producer
    	default is false
    	if this property is set to true then the following properties are also required
    	explicitQosPriority
    	explicitQosTimeToLive
    	explicitQosDeliveryMode
    	explicitQosDurable
    	explicitQosExclusive
    	explicitQosAutoDelete
    	explicitQosQueueName
    	explicitQosQueueNamePrefix
    	explicitQosQueueNameSuffix
    	explicitQosQueueNameSeparator
    	explicitQosQueueNameCounter
    	explicitQosQueueNameCounterStart
    	explicitQosQueueNameCounterStep
    	explicitQosQueueNameCounterMax
    	explicitQosQueueNameCounterMin
    	explicitQosQueueNameCounterPadLength
    	explicitQosQueueNameCounterPadCharacter
    	explicitQosQueueNameCounterPadType
    	explicitQosQueue",set if the qos values delivery mode priority time to live should be used for sending a message
"	public void setModelKey(String modelKey) {
		this.modelKey = modelKey;
	}","	set the model key for this attribute
    	this key is used to resolve the model object from the model map and to set the model object in the model map",set the name of the model key that represents the object to be marshalled
"	protected NavigationHandler getDelegate(FacesContext facesContext) {
		String targetBeanName = getTargetBeanName(facesContext);
		return getBeanFactory(facesContext).getBean(targetBeanName, NavigationHandler.class);
	}",	get the navigation handler to use for the given faces context,return the target navigation handler to delegate to
"	private boolean isOptionSelected(@Nullable Object value) throws JspException {
		return SelectedValueComparator.isSelected(getBindStatus(), value);
	}","	determine if the given value is selected according to the selected attribute value of the select tag
### Function:
   	public void setSelected(String selected) {
		this.selected = selected;
	}
### Response:
    	set the name of the request attribute to use for the selected attribute of the select tag",determines whether the supplied value matched the selected value through delegating to selected value comparator is selected
"	protected String[] tokenizePattern(String pattern) {
		String[] tokenized = null;
		Boolean cachePatterns = this.cachePatterns;
		if (cachePatterns == null || cachePatterns.booleanValue()) {
			tokenized = this.tokenizedPatternCache.get(pattern);
		}
		if (tokenized == null) {
			tokenized = tokenizePath(pattern);
			if (cachePatterns == null && this.tokenizedPatternCache.size() >= CACHE_TURNOFF_THRESHOLD) {
				
				
				
				deactivatePatternCache();
				return tokenized;
			}
			if (cachePatterns == null || cachePatterns.booleanValue()) {
				this.tokenizedPatternCache.put(pattern, tokenized);
			}
		}
		return tokenized;
	}","	tokenize the given pattern into a sequence of path elements
    	each path element may contain wildcards
    	returns null if the pattern does not contain any wildcards
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
    	
",tokenize the given path pattern into parts based on this matcher s settings
"	public HandlerMethodReturnValueHandlerComposite addHandler(HandlerMethodReturnValueHandler handler) {
		this.returnValueHandlers.add(handler);
		return this;
	}","	add a handler to the end of the chain
    	@param handler the handler to add
    	@return this instance




































































































































































































































",add the given handler method return value handler
"	public void setAlwaysUseFullPath(boolean alwaysUseFullPath) {
		initUrlPathHelper();
		this.urlPathHelper.setAlwaysUseFullPath(alwaysUseFullPath);
	}",	set whether the lookup path should be prepended with a context path when calculating the lookup path for a request,shortcut to the org
"	public void setInputSource(InputSource inputSource) {
		throw new UnsupportedOperationException(""setInputSource is not supported"");
	}",	set the input source for this document builder factory,throws a unsupported operation exception
"	default void configureMessageConverters(List<HttpMessageConverter<?>> converters) {
	}","	configure message converters for the server side
    	the default implementation does nothing
    	@param converters the converters to configure
    	@since 5.0
    	@see #addDefaultHttpMessageConverters(List)
    	@see org.springframework.http.converter.HttpMessageConverter
    	@see org.springframework.http.converter.json.MappingJackson2HttpMessageConverter
    	@see org.springframework.http.converter.xml.MarshallingHttpMessageConverter
    	@see org.springframework.http.converter.support.AllEncompassingFormHttpMessageConverter
    	@see org.springframework.http.converter.StringHttpMessageConverter
    	@see org.springframework.http.converter.ResourceHttpMessageConverter
    	@see org.springframework.http.converter.support.SourceHttpMessageConverter
    	@see org.springframework.http.converter.protobuf.ProtobufHttpMessageConverter
    	@see org.springframework.http.converter.xml.Jaxb2RootElementHttpMessageConverter
    	@see org.springframework.http.",configure the http message converter http message converter s for reading from the request body and for writing to the response body
"	protected final void refreshBeanFactory() throws BeansException {
		if (hasBeanFactory()) {
			destroyBeans();
			closeBeanFactory();
		}
		try {
			DefaultListableBeanFactory beanFactory = createBeanFactory();
			beanFactory.setSerializationId(getId());
			customizeBeanFactory(beanFactory);
			loadBeanDefinitions(beanFactory);
			this.beanFactory = beanFactory;
		}
		catch (IOException ex) {
			throw new ApplicationContextException(""I/O error parsing bean definition source for "" + getDisplayName(), ex);
		}
	}",	refresh the underlying bean factory for this application context,this implementation performs an actual refresh of this context s underlying bean factory shutting down the previous bean factory if any and initializing a fresh bean factory for the next phase of the context s lifecycle
"	protected StringBuilder replaceUriTemplateVariables(
			String targetUrl, Map<String, Object> model, Map<String, String> currentUriVariables, String encodingScheme)
			throws UnsupportedEncodingException {

		StringBuilder result = new StringBuilder();
		Matcher matcher = URI_TEMPLATE_VARIABLE_PATTERN.matcher(targetUrl);
		int endLastMatch = 0;
		while (matcher.find()) {
			String name = matcher.group(1);
			Object value = (model.containsKey(name) ? model.remove(name) : currentUriVariables.get(name));
			if (value == null) {
				throw new IllegalArgumentException(""Model has no value for key '"" + name + ""'"");
			}
			result.append(targetUrl, endLastMatch, matcher.start());
			result.append(UriUtils.encodePathSegment(value.toString(), encodingScheme));
			endLastMatch = matcher.end();
		}
		result.append(targetUrl.substring(endLastMatch));
		return result;
	}","	replace uri template variables in the given url template by the corresponding values from the given map of variables
    	variables are identified by curly brace placeholders with the form of {myKey}
    	if a value for a variable is not found in the given map an exception is thrown
    	the given url template may contain curly brace placeholders for simple variable substitution use of curly braces for anything else is not supported
    	@param targetUrl the url template that will have variables substituted
    	@param model a map of model objects containing values to be substituted into the url template
    	@param currentUriVariables a map of the currently used uri variables
    	@param encodingScheme the encoding scheme to escape variables with
    	@return the expanded url
    	@throws UnsupportedEncodingException if the encoding scheme is not supported by the platform
    	@see UriUtils#encodePathSegment(String, String)
    	@see UriUtils#encodeUriComponent(String, String)
    methods
    	public String expand(String url, Map<String, ?> uriVariables) throws UnsupportedEncodingException {
	",replace uri template variables in the target url with encoded model attributes or uri variables from the current request
"	private void maybeBindAnnotationsFromPointcutExpression() {
		List<String> varNames = new ArrayList<>();
		String[] tokens = StringUtils.tokenizeToStringArray(this.pointcutExpression, "" "");
		for (int i = 0; i < tokens.length; i++) {
			String toMatch = tokens[i];
			int firstParenIndex = toMatch.indexOf('(');
			if (firstParenIndex != -1) {
				toMatch = toMatch.substring(0, firstParenIndex);
			}
			if (singleValuedAnnotationPcds.contains(toMatch)) {
				PointcutBody body = getPointcutBody(tokens, i);
				i += body.numTokensConsumed;
				String varName = maybeExtractVariableName(body.text);
				if (varName != null) {
					varNames.add(varName);
				}
			}
			else if (tokens[i].startsWith(""@args("") || tokens[i].equals(""@args"")) {
				PointcutBody body = getPointcutBody(tokens, i);
				i += body.numTokensConsumed;
				maybeExtractVariableNamesFromArgs(body.text, varNames);
			}
		}

		bindAnnotationsFromVarNames(varNames);
	}",	maybe bind annotations from pointcut expression,parse the string pointcut expression looking for 0 this 0 target 0 args 0 within 0 withincode 0 annotation
"	public void setConfigLocations(Resource... configLocations) {
		this.configLocations = configLocations;
	}",	set the config locations for this application context,set the locations of multiple hibernate xml config files for example as classpath resources classpath hibernate
"	protected void customizeContext(GenericApplicationContext context) {
	}",	customize the application context for the test case for example to register additional beans or resource locations,customize the generic application context created by this context loader i after i bean definitions have been loaded into the context but i before i the context is refreshed
"	public void setRange(List<HttpRange> ranges) {
		String value = HttpRange.toString(ranges);
		set(RANGE, value);
	}",	set the ranges value for the current request or response,sets the new value of the range header
"	public void setUpgrade(@Nullable String upgrade) {
		setOrRemove(UPGRADE, upgrade);
	}","	set the upgrade attribute of the link tag to the given value
    	if upgrade is null the upgrade attribute is removed
    	this method is only intended to be used by the framework
    	@param upgrade the value to set the upgrade attribute to or null to remove the attribute
    	@since 5.0
    	@see <a href=""https://html.spec.whatwg.org/multipage/semantics.html#attr-link-upgrade"">
    			https://html.spec.whatwg.org/multipage/semantics.html#attr-link-upgrade</a>
    	@see <a href=""https://html.spec.whatwg.org/multipage/semantics.html#linkTypes"">
    			https://html.spec.whatwg.org/multipage/semantics.html#linkTypes</a>
    	@see <a href=""https://html.spec.whatwg.org/multipage/semantics.html#upgrade-the-link"">
    			https://html.spec.whatwg.org/multipage/",set the new value of the upgrade header
"	public synchronized void onError(Consumer<Throwable> callback) {
		this.errorCallback.setDelegate(callback);
	}","	register a callback to be invoked when an error occurs
    	the callback will be invoked on the thread that the error was reported on
    	the callback will be invoked before the stream is closed
    	if this method is invoked multiple times the last callback registered will be used
    	the callback will be invoked after any previously registered callbacks
    	if the stream is already in an error state the callback will be invoked immediately
    	this method may be invoked multiple times before the stream is closed
    	the callback will be invoked on the thread that this method is invoked on
    	the callback will be invoked after any previously registered callbacks
    	if the stream is already in an error state the callback will be invoked immediately
    	this method may be invoked multiple times before the stream is closed
    	the callback will be invoked on the thread that this method is invoked on
    	the callback will be invoked after any previously registered callbacks
    	if the stream is already in an error state the callback will be invoked immediately
    	this method may be invoked multiple times before the stream is closed
    	the callback will be invoked on the thread that this method is invoked on
    	the callback will",register code to invoke for an error during async request processing
"	public void prepare() throws ClassNotFoundException, NoSuchMethodException {
		if (this.staticMethod != null) {
			int lastDotIndex = this.staticMethod.lastIndexOf('.');
			if (lastDotIndex == -1 || lastDotIndex == this.staticMethod.length()) {
				throw new IllegalArgumentException(
						""staticMethod must be a fully qualified class plus method name: "" +
						""e.g. 'example.MyExampleClass.myExampleMethod'"");
			}
			String className = this.staticMethod.substring(0, lastDotIndex);
			String methodName = this.staticMethod.substring(lastDotIndex + 1);
			this.targetClass = resolveClassName(className);
			this.targetMethod = methodName;
		}

		Class<?> targetClass = getTargetClass();
		String targetMethod = getTargetMethod();
		Assert.notNull(targetClass, ""Either 'targetClass' or 'targetObject' is required"");
		Assert.notNull(targetMethod, ""Property 'targetMethod' is required"");

		Object[] arguments = getArguments();
		Class<?>[] argTypes = new Class<?>[arguments.length];
		for (int i = 0; i < arguments.length; ++i) {
			argTypes[i] = (arguments[i] != null ? arguments[i].getClass() : Object.class);
		}

		
		try {
			this.methodObject = targetClass.getMethod(targetMethod, argTypes);
		}
		catch (NoSuchMethodException ex) {
			
			this.methodObject = findMatchingMethod();
			if (this.methodObject == null) {
				throw ex;
			}
		}
	}","	public void prepare() throws ClassNotFoundException, NoSuchMethodException {
		if (this.staticMethod != null) {
			int lastDotIndex = this.staticMethod.lastIndexOf('.');
			if (lastDotIndex == -1 || lastDotIndex == this.staticMethod.length()) {
				throw new IllegalArgumentException(
						""staticMethod must be a fully qualified class plus method name: "" +
						""e.g. 'example.MyExampleClass.myExampleMethod'"");
			}
			String className = this.staticMethod.substring(0, lastDotIndex);
			String methodName = this.staticMethod.substring(lastDotIndex + 1);
			this.targetClass = resolveClassName(className);
			this.targetMethod = methodName;
		}

		Class<?> targetClass = getTargetClass();
		String targetMethod = getTargetMethod();
		Assert.notNull(targetClass, ""Either 'targetClass'",prepare the specified method
"	public boolean isReplyPubSubDomain() {
		if (this.replyPubSubDomain != null) {
			return this.replyPubSubDomain;
		}
		else {
			return isPubSubDomain();
		}
	}","	return this.replyPubSubDomain != null ? this.replyPubSubDomain : isPubSubDomain();

",return whether the publish subscribe domain jakarta
"	protected void exposeHelpers(HttpServletRequest request) throws Exception {
	}","	expose helpers to the request as request attributes
    	the default implementation is empty
    	subclasses can override this method to expose additional helper objects to the views
    	for example, a web application using spring mvc may expose the current spring web application context as request attribute
    	@param request the current request
    	@throws Exception if any
    ###
    this method is called by the view resolver after the view is resolved but before the view is rendered
    subclasses can override this method to expose additional helper objects to the views
    for example a web application using spring mvc may expose the current spring web application context as request attribute
    this method is called by the view resolver after the view is resolved but before the view is rendered
    subclasses can override this method to expose additional helper objects to the views
    for example a web application using spring mvc may expose the current spring web application context as request attribute
    this method is called by the view resolver after the view is resolved but before the view is rendered
    subclasses can override this method to expose additional helper objects to the views
    for example a web application using spring mvc may expose the current spring web",expose helpers unique to each rendering operation
"	public static StompCommand getCommand(Map<String, Object> headers) {
		return (StompCommand) headers.get(COMMAND_HEADER);
	}","	returns the stomp command from the given headers or null if there is no stomp command header or the header value is not a stomp command
    	@param headers the headers to get the stomp command from
    	@return the stomp command from the given headers or null if there is no stomp command header or the header value is not a stomp command

# stomp command
## stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp command
### stomp",return the stomp command from the given headers or null if not set
"	private static int getNestedPropertySeparatorIndex(String propertyPath, boolean last) {
		boolean inKey = false;
		int length = propertyPath.length();
		int i = (last ? length - 1 : 0);
		while (last ? i >= 0 : i < length) {
			switch (propertyPath.charAt(i)) {
				case PropertyAccessor.PROPERTY_KEY_PREFIX_CHAR:
				case PropertyAccessor.PROPERTY_KEY_SUFFIX_CHAR:
					inKey = !inKey;
					break;
				case PropertyAccessor.NESTED_PROPERTY_SEPARATOR_CHAR:
					if (!inKey) {
						return i;
					}
			}
			if (last) {
				i--;
			}
			else {
				i++;
			}
		}
		return -1;
	}","	determine the index of the nested property separator character in the given property path
    	the index of the nested property separator character is determined by counting the number of nested property separators
    	that are contained in the given property path before the first or last character that is not a nested property separator character
    	if there is no nested property separator character in the given property path then -1 is returned
    	if the given property path is null or empty then -1 is returned
    	if the given property path starts or ends with a nested property separator character then -1 is returned
    	if the given property path contains multiple nested property separators in a row then -1 is returned
    	if the given property path contains a nested property separator character that is not preceded or followed by a property key then -1 is returned
    	if the given property path contains a nested property separator character that is preceded or followed by a property key that contains a nested property separator character then -1 is returned
    	if the given property path contains a nested property separator character that is preceded or followed by a property key that contains a nested property separator character then -1 is returned
    	if the given property path",determine the first or last nested property separator in the given property path ignoring dots in keys like map my
"	public int getMaximumAutoGrowSize() {
		return this.maximumAutoGrowSize;
	}","	return the maximum size to which the pool will be allowed to grow if the pool is empty
    	if the pool is empty and the maximum size is exceeded then the pool will be allowed to grow to the maximum size
    	the default value is 0 which means that the pool will not grow automatically
    	this setting only applies to the pool's connection factory and does not affect the pools of the other connection factories
    	this setting is only applicable when the pool is configured to be auto grow
    	if the pool is configured to be auto grow and this setting is set to 0 then the pool will not grow automatically
    	if the pool is configured to be auto grow and this setting is set to a positive value then the pool will grow up to the specified size
    	if the pool is configured to be auto grow and this setting is set to -1 then the pool will grow up to the maximum size of the pool
    	if the pool is not configured to be auto grow then this setting is ignored
    	this setting is only applicable when the pool is configured to be auto grow
    	if the pool is configured to be auto grow and this setting is set to 0 then the",return the maximum size that a collection can auto grow
